5343.0,17.0,3.0,1.0,145.37050925,307.50684688,3090.0,1675801.0,0.12626348,6.018748866983684E9
5343.0,17.0,4.0,1.0,191.84147371,400.69330252,3084.25,1818613.5,0.13345433,6.053472130121213E9
5343.0,17.0,5.0,1.0,239.56263972,497.15233613,3104.2,1917177.0,0.17544305,6.080819750579953E9
5343.0,17.0,6.0,1.0,279.87000361,580.62276048,3087.5,2066941.83333333,0.16032531,6.134837450232323E9
5343.0,17.0,7.0,1.0,322.09800543,666.7169283,3097.42857143,2255902.14285714,0.17859186,6.171993842314353E9
5343.0,17.0,8.0,1.0,371.48890693,758.58290343,3090.875,2447165.125,0.17287122,6.205408763861889E9
5343.0,17.0,8.0,1.0,369.59288813,751.95181349,3069.5,2642324.5,0.16888928,6.286395225674242E9
5343.0,17.0,10.0,1.0,446.70152845,908.40810395,3094.2,2887665.6,0.20025961,6.281563178484849E9
5343.0,17.0,3.0,2.0,293.06216773,610.43924605,3095.33333333,1694713.66666667,0.28317241,6.0891446704600935E9
5343.0,17.0,4.0,2.0,384.25354323,789.69494538,3087.0,1850639.25,0.27989389,6.148170348664711E9
5343.0,17.0,5.0,2.0,469.76178307,961.34530344,3084.8,2080988.4,0.32036886,6.205717317273239E9
5343.0,17.0,6.0,2.0,560.65914368,1128.94558491,3084.0,2356097.66666667,0.31627327,6.262585938001305E9
5343.0,17.0,7.0,2.0,639.66392663,1280.01114213,3080.85714286,2717698.42857143,0.30285423,6.332823753926671E9
5343.0,17.0,8.0,2.0,730.32507871,1431.34071532,3079.375,3002217.0,0.3162191,6.445719377090375E9
5343.0,17.0,9.0,2.0,812.65736057,1559.77371558,3062.22222222,3344190.33333333,0.32775613,6.506942721239089E9
5343.0,17.0,10.0,2.0,893.14194577,1679.71859607,3059.7,3697098.3,0.32435857,6.557680415974022E9
5343.0,17.0,2.0,3.0,280.57827711,587.5873179,3093.5,1582058.5,0.38131959,5.965445622666666E9
5343.0,17.0,3.0,3.0,418.46086044,865.30353,3089.0,1744430.33333333,0.41246452,6.128383510694638E9
5343.0,17.0,4.0,3.0,560.49872721,1143.33407863,3088.0,2000790.5,0.38276526,6.262062353525641E9
5343.0,17.0,5.0,3.0,704.6302448,1397.03382581,3072.0,2304165.2,0.40602496,6.35075718363077E9
5343.0,17.0,6.0,3.0,825.86253031,1613.44901944,3079.16666667,2738839.33333333,0.38855809,6.421882753842269E9
5343.0,17.0,7.0,3.0,956.25646788,1823.07915738,3062.14285714,3113658.71428571,0.37985435,6.546055939012987E9
